idx,predicted,correct,is_correct
0,B,B,True
1,D,D,True
2,B,B,True
3,D,D,True
4,B,B,True
5,A,D,False
6,C,C,True
7,C,C,True
8,B,B,True
9,A,A,True
10,D,D,True
11,D,D,True
12,B,B,True
13,D,D,True
14,C,C,True
15,B,B,True
16,D,D,True
17,D,D,True
18,B,B,True
19,D,D,True
20,C,C,True
21,D,A,False
22,C,C,True
23,D,D,True
24,A,A,True
25,D,D,True
26,D,D,True
27,A,A,True
28,D,D,True
29,C,C,True
30,D,D,True
31,C,C,True
32,D,D,True
33,B,B,True
34,A,A,True
35,A,A,True
36,D,D,True
37,A,A,True
38,D,D,True
39,A,A,True
40,C,C,True
41,C,C,True
42,A,A,True
43,B,B,True
44,C,A,False
45,D,D,True
46,C,C,True
47,A,A,True
48,B,B,True
49,C,C,True
50,D,D,True
51,A,A,True
52,D,D,True
53,C,C,True
54,A,A,True
55,A,A,True
56,C,C,True
57,B,B,True
58,C,C,True
59,C,A,False
60,C,C,True
61,A,A,True
62,D,D,True
63,A,A,True
64,A,A,True
65,B,B,True
66,C,C,True
67,B,B,True
68,D,D,True
69,A,A,True
70,A,A,True
71,A,A,True
72,C,C,True
73,D,B,False
74,C,C,True
75,A,A,True
76,B,B,True
77,B,B,True
78,C,C,True
79,C,C,True
80,B,B,True
81,A,A,True
82,C,C,True
83,A,A,True
84,C,C,True
85,B,B,True
86,C,C,True
87,C,C,True
88,C,C,True
89,B,B,True
90,D,D,True
91,B,B,True
92,C,C,True
93,D,D,True
94,C,C,True
95,D,D,True
96,A,A,True
97,B,B,True
98,B,B,True
99,B,B,True
100,D,D,True
101,A,A,True
102,A,A,True
103,A,A,True
104,B,B,True
105,B,B,True
106,B,B,True
107,A,A,True
108,D,D,True
109,B,B,True
110,C,C,True
111,B,B,True
112,B,B,True
113,C,C,True
114,C,C,True
115,D,D,True
116,C,C,True
117,A,C,False
118,D,D,True
119,C,C,True
120,D,D,True
121,A,A,True
122,D,D,True
123,A,A,True
124,B,B,True
125,A,A,True
126,A,A,True
127,C,C,True
128,A,A,True
129,A,A,True
130,B,B,True
131,B,B,True
132,A,A,True
133,B,B,True
134,A,A,True
135,C,C,True
136,C,C,True
137,D,D,True
138,B,B,True
139,D,D,True
140,C,C,True
141,A,A,True
142,A,A,True
143,B,B,True
144,C,C,True
145,D,D,True
146,C,C,True
147,D,D,True
148,B,B,True
149,D,D,True
150,A,A,True
151,D,D,True
152,A,A,True
153,A,A,True
154,C,C,True
155,D,D,True
156,B,B,True
157,A,A,True
158,C,C,True
159,B,B,True
160,C,C,True
161,B,B,True
162,C,C,True
163,A,A,True
164,A,A,True
165,B,B,True
166,B,B,True
167,C,C,True
168,B,B,True
169,C,C,True
170,C,C,True
171,D,D,True
172,C,C,True
173,A,A,True
174,D,D,True
175,D,D,True
176,D,D,True
177,C,C,True
178,D,D,True
179,C,C,True
180,B,B,True
181,D,D,True
182,B,B,True
183,D,D,True
184,A,A,True
185,D,D,True
186,B,B,True
187,B,B,True
